FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355536444.tiff,cfc_capture_1719355536444_tiff,1719355536444,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355539711.tiff,cfc_capture_1719355539711_tiff,1719355539711,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355542976.tiff,cfc_capture_1719355542976_tiff,1719355542976,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355546256.tiff,cfc_capture_1719355546256_tiff,1719355546256,9,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355549505.tiff,cfc_capture_1719355549505_tiff,1719355549505,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355552765.tiff,cfc_capture_1719355552765_tiff,1719355552765,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355556075.tiff,cfc_capture_1719355556075_tiff,1719355556075,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355559367.tiff,cfc_capture_1719355559367_tiff,1719355559367,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355562652.tiff,cfc_capture_1719355562652_tiff,1719355562652,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355566002.tiff,cfc_capture_1719355566002_tiff,1719355566002,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355569279.tiff,cfc_capture_1719355569279_tiff,1719355569279,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355572520.tiff,cfc_capture_1719355572520_tiff,1719355572520,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355575782.tiff,cfc_capture_1719355575782_tiff,1719355575782,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355579044.tiff,cfc_capture_1719355579044_tiff,1719355579044,8,2
