FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS)
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_050_INTTIME_02p0/DEG_NEG_40/cfc_capture_1719352788041.tiff,cfc_capture_1719352788041_tiff,1719352788041,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_050_INTTIME_02p0/DEG_NEG_40/cfc_capture_1719352791344.tiff,cfc_capture_1719352791344_tiff,1719352791344,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_050_INTTIME_02p0/DEG_NEG_40/cfc_capture_1719352794576.tiff,cfc_capture_1719352794576_tiff,1719352794576,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_050_INTTIME_02p0/DEG_NEG_40/cfc_capture_1719352797849.tiff,cfc_capture_1719352797849_tiff,1719352797849,48
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_30/cfc_capture_1719352799798.tiff,cfc_capture_1719352799798_tiff,1719352799798,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_30/cfc_capture_1719352803045.tiff,cfc_capture_1719352803045_tiff,1719352803045,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_010_INTTIME_01p5/DEG_POS_50/cfc_capture_1719352803718.tiff,cfc_capture_1719352803718_tiff,1719352803718,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_30/cfc_capture_1719352806312.tiff,cfc_capture_1719352806312_tiff,1719352806312,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_010_INTTIME_01p5/DEG_POS_50/cfc_capture_1719352806990.tiff,cfc_capture_1719352806990_tiff,1719352806990,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_30/cfc_capture_1719352809573.tiff,cfc_capture_1719352809573_tiff,1719352809573,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_090_INTTIME_01p5/DEG_NEG_30/cfc_capture_1719352812805.tiff,cfc_capture_1719352812805_tiff,1719352812805,45
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_40/cfc_capture_1719352815224.tiff,cfc_capture_1719352815224_tiff,1719352815224,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_40/cfc_capture_1719352815742.tiff,cfc_capture_1719352815742_tiff,1719352815742,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_40/cfc_capture_1719352818505.tiff,cfc_capture_1719352818505_tiff,1719352818505,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_40/cfc_capture_1719352819019.tiff,cfc_capture_1719352819019_tiff,1719352819019,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_130_INTTIME_02p0/DEG_NEG_50/cfc_capture_1719352821313.tiff,cfc_capture_1719352821313_tiff,1719352821313,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_40/cfc_capture_1719352821762.tiff,cfc_capture_1719352821762_tiff,1719352821762,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_40/cfc_capture_1719352822274.tiff,cfc_capture_1719352822274_tiff,1719352822274,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_130_INTTIME_02p0/DEG_NEG_50/cfc_capture_1719352824559.tiff,cfc_capture_1719352824559_tiff,1719352824559,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_090_INTTIME_01p5/DEG_POS_40/cfc_capture_1719352824979.tiff,cfc_capture_1719352824979_tiff,1719352824979,49
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/LEFT_RIGHT/20250206_FILTPOS_169_INTTIME_00p2/DEG_POS_40/cfc_capture_1719352825505.tiff,cfc_capture_1719352825505_tiff,1719352825505,47
/data/home/cjescobar/Projects/AirHARP2/SWIR/raw_data/2025_SWIR_Flatfield/UP_DOWN/20250205_FILTPOS_130_INTTIME_02p0/DEG_NEG_50/cfc_capture_1719352827844.tiff,cfc_capture_1719352827844_tiff,1719352827844,48
